,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
130,T1,09/12/17,Yeni Malatyaspor,Goztep,2,3,A,1,3,A,14,5,6,4,13,14,3,5,3,2,0,0
131,T1,10/12/17,Kayserispor,Besiktas,1,1,D,1,1,D,6,14,3,4,11,8,0,6,5,1,1,0
132,T1,10/12/17,Osmanlispor,Alanyaspor,3,0,H,3,0,H,10,13,7,9,22,6,1,9,3,2,0,0
133,T1,10/12/17,Sivasspor,Buyuksehyr,1,0,H,1,0,H,7,12,5,5,18,10,2,5,4,4,1,0
134,T1,11/12/17,Konyaspor,Karabukspor,2,0,H,1,0,H,12,7,6,1,13,16,3,2,3,4,0,0
135,T1,16/12/17,Alanyaspor,Sivasspor,1,1,D,0,0,D,7,9,5,4,11,17,2,2,2,1,0,0
136,T1,16/12/17,Genclerbirligi,Kasimpasa,0,0,D,0,0,D,8,4,4,1,13,12,7,5,2,1,0,0
137,T1,16/12/17,Trabzonspor,Bursaspor,1,0,H,0,0,D,14,2,2,1,15,15,4,5,3,1,0,0
138,T1,17/12/17,Akhisar Belediyespor,Kayserispor,0,2,A,0,1,A,4,5,2,3,16,16,6,3,3,1,0,0
139,T1,17/12/17,Besiktas,Osmanlispor,5,1,H,2,0,H,18,8,10,4,19,14,12,3,1,3,0,0
140,T1,17/12/17,Buyuksehyr,Antalyaspor,4,1,H,0,1,A,22,7,16,3,14,12,11,0,3,1,0,0
141,T1,17/12/17,Yeni Malatyaspor,Galatasaray,2,1,H,2,0,H,7,6,5,2,14,18,2,8,2,0,0,0
142,T1,18/12/17,Fenerbahce,Karabukspor,2,0,H,0,0,D,9,7,5,4,16,20,10,6,4,6,0,0
143,T1,18/12/17,Goztep,Konyaspor,1,0,H,1,0,H,12,10,9,3,16,15,3,7,2,3,0,0
144,T1,22/12/17,Antalyaspor,Alanyaspor,3,1,H,1,1,D,17,9,11,2,17,16,10,5,5,2,0,0
145,T1,23/12/17,Bursaspor,Genclerbirligi,1,1,D,0,0,D,8,5,3,3,16,30,7,2,2,4,0,0
146,T1,23/12/17,Konyaspor,Fenerbahce,1,1,D,0,0,D,7,12,3,9,7,12,2,7,4,0,0,0
147,T1,23/12/17,Sivasspor,Besiktas,2,1,H,1,1,D,10,17,6,8,9,10,2,15,1,0,0,0
148,T1,24/12/17,Galatasaray,Goztep,3,1,H,1,1,D,12,6,7,5,17,9,3,3,4,2,0,0
149,T1,24/12/17,Karabukspor,Trabzonspor,1,1,D,0,0,D,10,8,4,4,22,14,5,5,6,2,0,0
150,T1,24/12/17,Kasimpasa,Buyuksehyr,1,2,A,1,1,D,9,16,6,9,13,14,4,3,3,1,0,0
151,T1,24/12/17,Kayserispor,Yeni Malatyaspor,0,1,A,0,1,A,11,5,7,4,9,14,5,2,2,4,0,0
152,T1,25/12/17,Osmanlispor,Akhisar Belediyespor,3,2,H,1,1,D,16,6,11,3,19,17,2,3,2,4,0,1
153,T1,19/01/18,Kasimpasa,Alanyaspor,3,2,H,1,2,A,13,6,9,2,11,8,10,3,3,1,0,1
154,T1,20/01/18,Fenerbahce,Goztep,2,1,H,1,0,H,7,5,2,3,17,11,9,4,3,4,0,0
155,T1,20/01/18,Karabukspor,Genclerbirligi,0,2,A,0,0,D,7,10,3,3,17,20,7,2,2,3,0,0
156,T1,20/01/18,Osmanlispor,Yeni Malatyaspor,0,0,D,0,0,D,7,8,4,5,12,10,5,4,1,1,0,0
157,T1,21/01/18,Antalyaspor,Besiktas,1,2,A,1,1,D,7,11,3,6,12,16,5,9,2,1,0,0
158,T1,21/01/18,Bursaspor,Buyuksehyr,0,3,A,0,1,A,3,5,1,4,12,12,6,3,2,3,0,0
159,T1,21/01/18,Konyaspor,Trabzonspor,2,2,D,0,0,D,7,13,5,5,11,15,6,1,4,4,1,1
160,T1,21/01/18,Sivasspor,Akhisar Belediyespor,1,1,D,0,0,D,12,5,3,4,14,23,4,2,3,3,0,1
161,T1,22/01/18,Kayserispor,Galatasaray,1,3,A,0,2,A,10,12,6,5,17,16,7,2,2,0,0,0
162,T1,26/01/18,Besiktas,Kasimpasa,2,1,H,2,0,H,12,9,7,5,18,14,5,4,3,2,0,0
163,T1,26/01/18,Genclerbirligi,Konyaspor,2,1,H,0,1,A,9,5,4,3,10,27,0,5,3,3,1,0
164,T1,27/01/18,Alanyaspor,Bursaspor,3,1,H,1,1,D,10,5,5,3,15,21,5,3,1,3,0,0
165,T1,27/01/18,Galatasaray,Osmanlispor,2,0,H,1,0,H,18,7,7,1,12,11,6,6,0,1,0,0
166,T1,27/01/18,Goztep,Kayserispor,1,1,D,0,1,A,10,2,5,1,11,25,2,1,1,7,0,2
167,T1,28/01/18,Akhisar Belediyespor,Antalyaspor,1,1,D,0,1,A,10,2,5,1,15,16,11,0,3,4,0,0
168,T1,28/01/18,Trabzonspor,Fenerbahce,1,1,D,0,0,D,7,11,2,6,15,21,2,11,2,3,0,0
169,T1,28/01/18,Yeni Malatyaspor,Sivasspor,1,0,H,0,0,D,8,11,1,5,19,19,7,6,4,2,0,0
170,T1,29/01/18,Buyuksehyr,Karabukspor,5,0,H,5,0,H,17,4,13,2,6,6,5,0,0,1,0,0
171,T1,02/02/18,Bursaspor,Besiktas,2,2,D,2,1,H,7,13,5,9,22,16,6,6,4,2,0,0
172,T1,03/02/18,Antalyaspor,Yeni Malatyaspor,3,1,H,1,1,D,9,4,5,2,26,12,6,1,2,2,0,1
173,T1,03/02/18,Fenerbahce,Genclerbirligi,2,2,D,0,1,A,15,6,4,1,16,18,4,3,3,6,0,0
174,T1,03/02/18,Karabukspor,Alanyaspor,1,0,H,0,0,D,6,7,4,3,14,13,8,5,6,2,0,0
175,T1,04/02/18,Kasimpasa,Akhisar Belediyespor,2,0,H,0,0,D,11,7,6,2,15,10,6,4,1,1,0,0
176,T1,04/02/18,Konyaspor,Buyuksehyr,1,1,D,0,1,A,11,5,4,3,14,10,7,7,2,3,0,1
177,T1,04/02/18,Osmanlispor,Kayserispor,0,1,A,0,1,A,13,8,4,3,15,15,8,1,2,2,0,0
178,T1,04/02/18,Sivasspor,Galatasaray,2,1,H,1,0,H,7,12,3,4,16,10,3,5,2,2,0,0
179,T1,05/02/18,Trabzonspor,Goztep,0,0,D,0,0,D,17,6,9,4,13,28,6,3,3,5,0,0
180,T1,09/02/18,Yeni Malatyaspor,Kasimpasa,1,1,D,1,1,D,6,7,5,2,14,19,10,1,2,3,0,0
181,T1,10/02/18,Besiktas,Karabukspor,5,0,H,2,0,H,20,4,13,1,14,14,7,5,3,1,0,0
182,T1,10/02/18,Genclerbirligi,Trabzonspor,0,0,D,0,0,D,13,9,9,1,14,19,7,5,1,2,0,0
183,T1,10/02/18,Goztep,Osmanlispor,3,3,D,2,1,H,9,13,5,7,13,13,3,6,4,4,0,0
184,T1,11/02/18,Akhisar Belediyespor,Bursaspor,1,0,H,1,0,H,9,7,3,3,19,22,3,3,5,2,0,0
185,T1,11/02/18,Alanyaspor,Konyaspor,1,2,A,1,2,A,23,4,11,4,12,10,18,1,4,5,0,1
186,T1,11/02/18,Buyuksehyr,Fenerbahce,0,2,A,0,1,A,4,12,2,4,9,14,5,3,2,0,0,0
187,T1,11/02/18,Kayserispor,Sivasspor,1,1,D,0,0,D,8,5,3,1,17,12,7,3,4,2,0,0
188,T1,12/02/18,Galatasaray,Antalyaspor,3,0,H,3,0,H,9,8,5,2,20,15,8,3,2,3,1,0
