,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
64,T1,19/10/2019,13:00,Antalyaspor,Genclerbirligi,0,6,A,0,5,A,11,11,1,9,5,16,8,1,2,2,1,0
65,T1,19/10/2019,15:30,Buyuksehyr,Goztep,2,1,H,1,0,H,14,11,5,2,17,13,5,5,1,3,0,0
66,T1,19/10/2019,15:30,Trabzonspor,Gaziantep,4,1,H,2,0,H,12,14,5,5,16,14,5,4,1,1,0,1
67,T1,19/10/2019,18:00,Ankaragucu,Besiktas,0,0,D,0,0,D,4,14,1,4,17,9,5,6,3,4,1,0
68,T1,20/10/2019,12:00,Kayserispor,Kasimpasa,1,1,D,0,1,A,23,9,10,1,14,17,11,3,5,3,0,0
69,T1,20/10/2019,14:30,Alanyaspor,Rizespor,5,2,H,2,0,H,21,5,11,3,21,16,8,4,0,1,0,0
70,T1,20/10/2019,17:00,Denizlispor,Fenerbahce,1,2,A,0,1,A,3,9,1,3,12,12,5,4,2,0,0,0
71,T1,21/10/2019,18:00,Konyaspor,Yeni Malatyaspor,0,2,A,0,1,A,6,12,3,6,10,16,3,3,1,2,1,0
72,T1,25/10/2019,18:30,Rizespor,Ankaragucu,2,0,H,1,0,H,22,15,8,3,20,11,8,3,1,3,0,0
73,T1,26/10/2019,13:00,Sivasspor,Antalyaspor,2,1,H,0,0,D,9,8,3,3,15,8,7,9,3,1,0,0
74,T1,26/10/2019,15:30,Gaziantep,Alanyaspor,1,1,D,0,1,A,9,7,3,2,19,13,9,1,3,3,0,0
75,T1,26/10/2019,18:00,Fenerbahce,Konyaspor,5,1,H,3,1,H,19,5,8,1,13,6,2,2,1,1,0,0
76,T1,27/10/2019,11:00,Yeni Malatyaspor,Kayserispor,4,0,H,1,0,H,18,5,7,2,15,18,4,2,1,3,0,0
77,T1,27/10/2019,13:30,Genclerbirligi,Denizlispor,0,2,A,0,1,A,16,10,7,3,13,9,6,6,1,2,0,0
78,T1,27/10/2019,13:30,Goztep,Kasimpasa,1,4,A,1,1,D,11,16,3,8,13,18,5,4,4,3,0,0
79,T1,27/10/2019,16:00,Besiktas,Galatasaray,1,0,H,0,0,D,13,14,7,2,11,15,7,0,2,3,0,0
80,T1,28/10/2019,17:00,Buyuksehyr,Trabzonspor,2,2,D,0,0,D,15,9,5,7,11,6,3,6,2,3,0,0
81,T1,01/11/2019,17:30,Galatasaray,Rizespor,2,0,H,2,0,H,12,10,7,3,14,19,4,3,1,3,0,0
82,T1,02/11/2019,12:00,Konyaspor,Genclerbirligi,1,1,D,1,0,H,10,15,3,2,13,9,1,7,0,3,0,0
83,T1,02/11/2019,14:30,Alanyaspor,Buyuksehyr,0,0,D,0,0,D,22,4,3,1,13,10,5,3,1,1,0,0
84,T1,02/11/2019,14:30,Trabzonspor,Goztep,0,1,A,0,1,A,21,6,6,2,3,10,8,3,0,3,0,0
85,T1,02/11/2019,17:00,Antalyaspor,Besiktas,1,2,A,0,2,A,14,12,4,6,13,17,2,0,3,2,0,0
86,T1,03/11/2019,11:00,Denizlispor,Sivasspor,0,2,A,0,1,A,10,16,2,6,14,22,2,6,3,3,0,0
87,T1,03/11/2019,13:30,Kasimpasa,Yeni Malatyaspor,2,2,D,1,0,H,19,13,6,5,13,14,7,8,2,3,0,1
88,T1,03/11/2019,16:00,Kayserispor,Fenerbahce,1,0,H,0,0,D,11,22,1,5,19,10,3,8,1,3,0,0
89,T1,04/11/2019,17:00,Ankaragucu,Gaziantep,1,2,A,0,1,A,13,9,6,5,16,16,6,3,2,2,0,0
90,T1,08/11/2019,17:30,Fenerbahce,Kasimpasa,3,2,H,2,1,H,19,8,9,5,14,14,5,4,3,5,1,1
91,T1,09/11/2019,12:00,Genclerbirligi,Kayserispor,2,1,H,1,0,H,15,7,7,3,13,7,2,2,2,0,0,0
92,T1,09/11/2019,14:30,Rizespor,Antalyaspor,1,0,H,1,0,H,5,33,3,8,18,13,3,10,2,4,1,0
93,T1,09/11/2019,14:30,Sivasspor,Konyaspor,2,0,H,0,0,D,17,2,10,1,10,9,8,1,1,5,0,1
94,T1,09/11/2019,17:00,Gaziantep,Galatasaray,0,2,A,0,2,A,7,12,0,3,17,13,7,6,3,1,0,0
95,T1,10/11/2019,11:00,Goztep,Yeni Malatyaspor,1,1,D,1,0,H,7,7,3,2,19,13,4,4,6,6,1,1
96,T1,10/11/2019,13:30,Trabzonspor,Alanyaspor,1,0,H,0,0,D,7,13,2,4,8,18,4,6,4,4,1,1
97,T1,10/11/2019,16:00,Besiktas,Denizlispor,1,0,H,0,0,D,12,8,7,3,13,18,6,6,2,2,0,0
98,T1,10/11/2019,16:00,Buyuksehyr,Ankaragucu,2,1,H,1,0,H,17,16,7,6,14,9,7,4,1,2,0,0
99,T1,22/11/2019,17:30,Galatasaray,Buyuksehyr,0,1,A,0,0,D,8,7,3,2,19,17,11,5,3,3,0,0
