,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR
74,SC0,28/10/00,Rangers,Kilmarnock,0,3,A,0,2,A,49569,John Underhill,3.0,8.0,1.0,5.0,0.0,0.0,8.0,2.0,8.0,15.0,7,4,0,1,0,0
75,SC0,28/10/00,St Mirren,Aberdeen,2,0,H,1,0,H,5763,Stuart Dougal,8.0,11.0,3.0,5.0,0.0,1.0,3.0,6.0,6.0,7.0,3,1,1,0,0,0
76,SC0,29/10/00,Motherwell,Celtic,3,3,D,1,1,D,10820,Hugh Dallas,10.0,17.0,3.0,9.0,0.0,0.0,6.0,6.0,26.0,10.0,2,3,3,0,0,0
77,SC0,04/11/00,Hearts,Aberdeen,3,0,H,1,0,H,12744,Tom Brown,24.0,6.0,12.0,3.0,1.0,1.0,11.0,8.0,11.0,9.0,4,3,0,0,0,0
78,SC0,04/11/00,Motherwell,Dundee United,2,1,H,1,0,H,6864,Alan Freeland,12.0,10.0,3.0,3.0,0.0,0.0,3.0,6.0,16.0,13.0,6,2,2,2,0,1
79,SC0,04/11/00,Rangers,St Mirren,7,1,H,4,1,H,48795,Bobby Orr,23.0,6.0,9.0,3.0,0.0,0.0,4.0,5.0,6.0,8.0,3,2,1,1,0,0
80,SC0,04/11/00,St Johnstone,Dunfermline,0,2,A,0,0,D,4287,Kenny Clark,10.0,8.0,2.0,3.0,0.0,2.0,5.0,3.0,14.0,12.0,1,4,2,1,0,0
81,SC0,05/11/00,Dundee,Hibernian,1,2,A,1,1,D,6604,Douglas McDonald,13.0,15.0,7.0,8.0,0.0,0.0,6.0,8.0,13.0,21.0,2,10,3,0,0,0
82,SC0,05/11/00,Kilmarnock,Celtic,0,1,A,0,0,D,13417,Willie Young,4.0,11.0,2.0,6.0,0.0,0.0,7.0,4.0,12.0,7.0,2,4,2,2,0,0
83,SC0,11/11/00,Dundee United,Dundee,0,2,A,0,1,A,11454,Hugh Dallas,12.0,8.0,4.0,6.0,0.0,0.0,7.0,8.0,22.0,7.0,10,4,4,2,0,0
84,SC0,11/11/00,Dunfermline,Motherwell,1,2,A,1,0,H,4488,John Underhill,9.0,12.0,5.0,6.0,1.0,1.0,5.0,6.0,7.0,14.0,1,1,3,2,0,0
85,SC0,11/11/00,Hibernian,Kilmarnock,1,1,D,1,0,H,12588,David Somers,,,,,,,,,,,0,0,1,1,0,0
86,SC0,11/11/00,St Mirren,Hearts,1,2,A,0,1,A,5328,John Rowbotham,4.0,9.0,3.0,3.0,1.0,1.0,4.0,12.0,17.0,14.0,1,1,0,3,0,0
87,SC0,12/11/00,Aberdeen,Rangers,1,2,A,1,1,D,18359,Michael McCurry,11.0,8.0,7.0,4.0,0.0,0.0,3.0,5.0,16.0,11.0,3,7,2,3,1,0
88,SC0,12/11/00,Celtic,St Johnstone,4,1,H,3,0,H,60000,Kevin Toner,19.0,6.0,9.0,2.0,0.0,0.0,7.0,3.0,9.0,8.0,5,2,0,1,0,0
89,SC0,18/11/00,Celtic,Hearts,6,1,H,4,1,H,59813,Stuart Dougal,23.0,7.0,13.0,4.0,0.0,0.0,8.0,5.0,7.0,24.0,1,2,1,4,0,0
90,SC0,18/11/00,Dundee,St Mirren,5,0,H,1,0,H,6333,George Clyde,17.0,15.0,12.0,6.0,1.0,3.0,2.0,6.0,8.0,7.0,1,9,1,1,0,0
91,SC0,18/11/00,Dunfermline,Rangers,0,0,D,0,0,D,11751,Douglas McDonald,6.0,12.0,3.0,5.0,0.0,1.0,4.0,8.0,12.0,15.0,3,1,0,0,0,0
92,SC0,18/11/00,Hibernian,Aberdeen,0,2,A,0,0,D,10995,Willie Young,12.0,11.0,5.0,8.0,0.0,1.0,6.0,4.0,15.0,8.0,2,3,0,0,0,0
93,SC0,18/11/00,Motherwell,Kilmarnock,1,2,A,1,1,D,6571,Eric Martindale,23.0,19.0,11.0,6.0,1.0,0.0,7.0,5.0,15.0,19.0,9,1,3,3,0,0
94,SC0,18/11/00,St Johnstone,Dundee United,1,0,H,0,0,D,4295,Gary Mitchell,12.0,5.0,3.0,1.0,0.0,0.0,9.0,1.0,14.0,15.0,3,2,3,2,0,1
95,SC0,25/11/00,Aberdeen,Motherwell,3,3,D,1,2,A,12324,Hugh Dallas,21.0,9.0,12.0,6.0,0.0,0.0,10.0,2.0,12.0,19.0,4,8,1,2,0,0
96,SC0,25/11/00,Dundee United,Dunfermline,3,2,H,2,0,H,6012,John Fleming,8.0,4.0,5.0,3.0,0.0,0.0,3.0,3.0,14.0,10.0,3,5,2,5,1,2
97,SC0,25/11/00,Hearts,Dundee,3,1,H,0,1,A,11539,Alan Freeland,14.0,5.0,8.0,2.0,0.0,0.0,5.0,2.0,16.0,12.0,9,2,4,1,0,0
98,SC0,25/11/00,Kilmarnock,St Johnstone,0,2,A,0,0,D,6330,John Rowbotham,11.0,5.0,6.0,2.0,0.0,0.0,6.0,1.0,6.0,11.0,3,0,2,2,0,0
99,SC0,25/11/00,St Mirren,Hibernian,1,1,D,0,1,A,5255,Michael McCurry,8.0,9.0,3.0,4.0,0.0,0.0,11.0,1.0,8.0,8.0,4,1,2,2,0,0
100,SC0,26/11/00,Rangers,Celtic,5,1,H,1,0,H,50083,Kenny Clark,14.0,5.0,8.0,3.0,1.0,0.0,6.0,2.0,16.0,14.0,0,0,3,4,0,1
101,SC0,28/11/00,Dundee United,Kilmarnock,0,1,A,0,0,D,5497,Kevin Toner,7.0,5.0,2.0,2.0,1.0,1.0,4.0,6.0,13.0,14.0,1,1,1,3,0,0
102,SC0,28/11/00,St Johnstone,Aberdeen,0,0,D,0,0,D,4576,Douglas McDonald,11.0,7.0,6.0,2.0,0.0,0.0,7.0,3.0,14.0,13.0,1,2,3,1,0,0
103,SC0,29/11/00,Dunfermline,Hearts,1,0,H,1,0,H,5642,Willie Young,12.0,11.0,8.0,3.0,0.0,0.0,1.0,5.0,7.0,7.0,1,2,2,0,0,0
104,SC0,29/11/00,Hibernian,Celtic,0,0,D,0,0,D,14939,Stuart Dougal,4.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,26.0,17.0,2,3,0,3,0,0
105,SC0,29/11/00,Motherwell,St Mirren,2,0,H,0,0,D,5312,Gary Mitchell,13.0,8.0,5.0,3.0,0.0,0.0,9.0,5.0,14.0,7.0,2,1,1,0,0,0
106,SC0,02/12/00,Aberdeen,Kilmarnock,1,2,A,1,2,A,12573,Kenny Clark,15.0,9.0,9.0,5.0,0.0,0.0,6.0,6.0,12.0,18.0,4,1,2,3,0,0
107,SC0,02/12/00,Celtic,Dunfermline,3,1,H,2,1,H,59229,Michael McCurry,21.0,5.0,11.0,2.0,0.0,0.0,9.0,0.0,4.0,9.0,0,1,1,4,0,0
108,SC0,02/12/00,Dundee,St Johnstone,1,1,D,1,0,H,7014,Hugh Dallas,15.0,12.0,7.0,6.0,1.0,0.0,10.0,8.0,14.0,18.0,4,3,2,3,0,0
109,SC0,03/12/00,Hearts,Rangers,0,1,A,0,1,A,16710,Stuart Dougal,11.0,9.0,5.0,4.0,0.0,0.0,5.0,6.0,15.0,18.0,1,2,1,6,0,2
110,SC0,03/12/00,Motherwell,Hibernian,1,3,A,0,1,A,5715,John Rowbotham,12.0,13.0,7.0,2.0,0.0,0.0,6.0,7.0,17.0,15.0,2,1,2,4,0,0
111,SC0,05/12/00,St Mirren,Dundee United,1,1,D,0,1,A,4685,Alan Freeland,9.0,10.0,7.0,5.0,0.0,0.0,2.0,6.0,10.0,11.0,2,2,1,1,1,0
112,SC0,09/12/00,Hibernian,Dunfermline,3,0,H,1,0,H,10078,Kenny Clark,20.0,4.0,6.0,0.0,0.0,1.0,4.0,2.0,16.0,12.0,5,1,0,1,0,1
113,SC0,09/12/00,Kilmarnock,Hearts,0,3,A,0,1,A,6828,Douglas McDonald,6.0,6.0,3.0,4.0,0.0,0.0,4.0,2.0,16.0,12.0,3,6,1,1,0,0
114,SC0,09/12/00,St Johnstone,St Mirren,2,0,H,1,0,H,4434,Eric Martindale,16.0,9.0,5.0,5.0,1.0,0.0,5.0,4.0,10.0,11.0,0,3,1,1,0,0
115,SC0,10/12/00,Dundee,Celtic,1,2,A,0,1,A,10763,John Underhill,12.0,6.0,5.0,3.0,0.0,0.0,7.0,9.0,5.0,13.0,4,5,0,2,0,0
116,SC0,10/12/00,Rangers,Motherwell,2,0,H,1,0,H,46058,Tom Brown,10.0,6.0,5.0,2.0,0.0,0.0,6.0,5.0,13.0,16.0,0,2,2,4,0,0
117,SC0,13/12/00,Rangers,Aberdeen,3,1,H,1,1,D,45285,Hugh Dallas,12.0,4.0,7.0,1.0,2.0,0.0,10.0,5.0,12.0,13.0,1,0,1,1,0,0
118,SC0,16/12/00,Celtic,Aberdeen,6,0,H,2,0,H,60013,Douglas McDonald,18.0,5.0,8.0,3.0,0.0,0.0,6.0,1.0,11.0,11.0,2,3,0,0,0,0
119,SC0,16/12/00,Dunfermline,St Mirren,2,0,H,1,0,H,5061,Hugh Dallas,17.0,11.0,12.0,2.0,2.0,1.0,3.0,2.0,7.0,17.0,3,0,3,2,0,0
