,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
76,I1,23/10/05,Roma,Lazio,1,1,D,1,0,H,G. Paparesta,14.0,6.0,4.0,2.0,28.0,21.0,3.0,3.0,3,2,0,0
77,I1,23/10/05,Sampdoria,Siena,3,3,D,1,0,H,O. Girardi,11.0,15.0,8.0,8.0,20.0,23.0,5.0,2.0,2,5,1,0
78,I1,23/10/05,Treviso,Empoli,1,2,A,0,1,A,F. Squillace,17.0,10.0,6.0,4.0,19.0,17.0,10.0,3.0,1,2,0,0
79,I1,23/10/05,Udinese,Inter,0,1,A,0,1,A,D. Tombolini,9.0,17.0,4.0,10.0,20.0,20.0,1.0,8.0,2,3,0,0
80,I1,26/10/05,Ascoli,Udinese,1,1,D,1,0,H,A. De Marco,7.0,8.0,4.0,4.0,17.0,19.0,3.0,9.0,1,0,0,0
81,I1,26/10/05,Cagliari,Livorno,1,1,D,0,0,D,L. Palanca,14.0,5.0,5.0,3.0,16.0,25.0,8.0,2.0,2,3,0,0
82,I1,26/10/05,Empoli,Milan,1,3,A,1,1,D,M. Trefoloni,8.0,16.0,4.0,8.0,13.0,13.0,5.0,10.0,0,1,0,0
83,I1,26/10/05,Inter,Roma,2,3,A,0,2,A,R. Rosetti,15.0,9.0,9.0,5.0,16.0,20.0,9.0,2.0,2,3,1,1
84,I1,26/10/05,Juventus,Sampdoria,2,0,H,1,0,H,A. Dattilo,14.0,12.0,9.0,4.0,24.0,25.0,3.0,7.0,0,2,0,0
85,I1,26/10/05,Lazio,Chievo,2,2,D,1,0,H,N. Ayroldi,,,,,,,,,1,3,0,0
86,I1,26/10/05,Palermo,Lecce,3,0,H,1,0,H,C. Brighi,10.0,12.0,4.0,5.0,13.0,16.0,2.0,7.0,3,3,1,0
87,I1,26/10/05,Parma,Messina,1,1,D,1,0,H,D. Messina,11.0,14.0,5.0,8.0,15.0,22.0,4.0,3.0,1,4,0,0
88,I1,26/10/05,Reggina,Treviso,1,2,A,0,1,A,O. Pantana,10.0,5.0,5.0,3.0,14.0,20.0,8.0,3.0,1,3,0,0
89,I1,26/10/05,Siena,Fiorentina,0,2,A,0,1,A,M. De Santis,13.0,8.0,7.0,4.0,12.0,21.0,8.0,2.0,5,1,0,0
90,I1,29/10/05,Milan,Juventus,3,1,H,3,0,H,P. Bertini,7.0,4.0,4.0,3.0,26.0,26.0,6.0,2.0,2,3,0,0
91,I1,29/10/05,Sampdoria,Inter,2,2,D,2,2,D,S. Farina,11.0,12.0,8.0,7.0,13.0,20.0,4.0,8.0,1,2,0,0
92,I1,30/10/05,Chievo,Empoli,2,2,D,1,1,D,N. Stefanini,14.0,7.0,6.0,4.0,13.0,21.0,6.0,2.0,2,1,0,0
93,I1,30/10/05,Fiorentina,Cagliari,2,1,H,0,1,A,M. Gabriele,7.0,11.0,4.0,6.0,22.0,14.0,4.0,5.0,3,3,0,2
94,I1,30/10/05,Lecce,Messina,0,2,A,0,0,D,M. Mazzoleni,14.0,10.0,6.0,5.0,22.0,25.0,5.0,3.0,2,4,0,0
95,I1,30/10/05,Livorno,Parma,2,0,H,2,0,H,M. Saccani,7.0,8.0,3.0,5.0,15.0,13.0,3.0,5.0,1,1,0,0
96,I1,30/10/05,Reggina,Lazio,1,0,H,0,0,D,G. Rocchi,12.0,5.0,5.0,2.0,23.0,20.0,3.0,4.0,2,4,0,0
97,I1,30/10/05,Roma,Ascoli,2,1,H,1,0,H,N. Rizzoli,13.0,9.0,8.0,5.0,19.0,15.0,9.0,2.0,1,3,1,0
98,I1,30/10/05,Treviso,Siena,0,1,A,0,1,A,M. Bergonzi,7.0,10.0,3.0,4.0,23.0,18.0,3.0,7.0,2,1,0,0
99,I1,30/10/05,Udinese,Palermo,0,0,D,0,0,D,P. Rodomonti,10.0,9.0,2.0,3.0,31.0,28.0,6.0,6.0,2,2,0,0
