,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HY,AY,HR,AR
46,F1,27/08/05,St Etienne,Sochaux,0,0,D,0,0,D,12.0,7.0,4.0,4.0,2,3,0,1
47,F1,27/08/05,Strasbourg,Bordeaux,0,0,D,0,0,D,8.0,12.0,1.0,3.0,2,3,0,0
48,F1,28/08/05,Auxerre,Lyon,0,2,A,0,2,A,9.0,9.0,2.0,5.0,2,3,0,0
49,F1,28/08/05,Monaco,Lens,0,0,D,0,0,D,11.0,3.0,3.0,1.0,0,0,0,0
50,F1,10/09/05,Ajaccio,Nancy,1,0,H,1,0,H,6.0,10.0,2.0,0.0,3,5,0,0
51,F1,10/09/05,Lyon,Monaco,2,1,H,1,0,H,14.0,8.0,7.0,3.0,1,4,0,1
52,F1,10/09/05,Metz,Lille,0,2,A,0,0,D,11.0,18.0,4.0,7.0,0,2,1,0
53,F1,10/09/05,Nice,St Etienne,0,1,A,0,1,A,13.0,5.0,6.0,2.0,1,4,0,0
54,F1,10/09/05,Paris SG,Strasbourg,1,0,H,1,0,H,13.0,4.0,8.0,2.0,3,3,0,1
55,F1,10/09/05,Rennes,Auxerre,3,1,H,0,0,D,10.0,8.0,7.0,2.0,0,4,0,0
56,F1,10/09/05,Toulouse,Le Mans,0,2,A,0,1,A,16.0,7.0,8.0,5.0,2,3,0,1
57,F1,10/09/05,Troyes,Nantes,1,0,H,0,0,D,4.0,10.0,1.0,4.0,3,1,0,0
58,F1,11/09/05,Lens,Bordeaux,1,1,D,1,1,D,12.0,6.0,5.0,4.0,1,4,0,0
59,F1,11/09/05,Sochaux,Marseille,0,1,A,0,0,D,8.0,11.0,2.0,4.0,1,0,0,0
60,F1,17/09/05,Bordeaux,Lyon,1,1,D,1,0,H,12.0,3.0,6.0,2.0,2,6,0,0
61,F1,17/09/05,Le Mans,Sochaux,2,1,H,1,0,H,11.0,13.0,6.0,6.0,0,1,0,0
62,F1,17/09/05,Lille,Nice,4,0,H,1,0,H,12.0,5.0,8.0,4.0,5,2,0,1
63,F1,17/09/05,Nancy,Metz,1,1,D,1,0,H,17.0,15.0,5.0,4.0,3,4,0,0
64,F1,17/09/05,Nantes,Toulouse,2,0,H,2,0,H,7.0,7.0,5.0,5.0,1,2,0,0
65,F1,18/09/05,Auxerre,Ajaccio,2,0,H,0,0,D,8.0,3.0,7.0,0.0,0,3,0,0
66,F1,18/09/05,Marseille,Troyes,2,1,H,2,0,H,12.0,3.0,5.0,2.0,0,1,0,0
67,F1,18/09/05,Monaco,Rennes,0,2,A,0,1,A,6.0,6.0,2.0,2.0,4,3,2,0
68,F1,18/09/05,St Etienne,Paris SG,3,0,H,1,0,H,13.0,9.0,8.0,3.0,2,1,0,0
69,F1,18/09/05,Strasbourg,Lens,1,1,D,0,1,A,12.0,3.0,5.0,1.0,2,5,0,1
70,F1,21/09/05,Ajaccio,Strasbourg,0,0,D,0,0,D,10.0,8.0,5.0,2.0,1,2,0,0
71,F1,21/09/05,Metz,Auxerre,1,2,A,0,1,A,19.0,16.0,6.0,5.0,1,1,0,0
72,F1,21/09/05,Nice,Le Mans,1,0,H,1,0,H,11.0,7.0,4.0,2.0,2,2,0,0
73,F1,21/09/05,Paris SG,Lille,2,1,H,1,1,D,8.0,17.0,2.0,5.0,3,3,0,0
74,F1,21/09/05,Rennes,Bordeaux,2,2,D,1,1,D,7.0,14.0,3.0,5.0,1,1,0,0
75,F1,21/09/05,Sochaux,Nantes,1,0,H,0,0,D,10.0,3.0,3.0,0.0,2,3,0,0
76,F1,21/09/05,St Etienne,Nancy,0,2,A,0,1,A,9.0,9.0,4.0,5.0,2,1,0,0
77,F1,21/09/05,Toulouse,Marseille,1,0,H,1,0,H,12.0,27.0,4.0,4.0,2,2,1,0
78,F1,21/09/05,Troyes,Monaco,1,2,A,1,0,H,8.0,13.0,4.0,5.0,3,5,0,2
79,F1,22/09/05,Lyon,Lens,1,1,D,1,1,D,14.0,8.0,8.0,4.0,2,3,0,0
80,F1,24/09/05,Auxerre,Sochaux,3,0,H,2,0,H,8.0,7.0,5.0,6.0,0,0,0,0
81,F1,24/09/05,Bordeaux,Ajaccio,1,0,H,1,0,H,10.0,7.0,3.0,3.0,2,4,0,0
82,F1,24/09/05,Le Mans,Paris SG,0,0,D,0,0,D,6.0,4.0,2.0,2.0,1,2,0,0
83,F1,24/09/05,Lille,St Etienne,2,0,H,1,0,H,9.0,11.0,5.0,4.0,3,2,0,0
84,F1,24/09/05,Marseille,Metz,3,1,H,1,1,D,12.0,8.0,4.0,3.0,0,2,0,0
85,F1,24/09/05,Monaco,Nice,0,0,D,0,0,D,10.0,5.0,3.0,2.0,2,3,0,0
86,F1,24/09/05,Nancy,Troyes,2,1,H,0,1,A,14.0,7.0,5.0,3.0,2,3,0,0
87,F1,24/09/05,Strasbourg,Toulouse,2,4,A,2,2,D,18.0,8.0,11.0,5.0,2,4,0,0
88,F1,25/09/05,Lens,Rennes,0,0,D,0,0,D,26.0,4.0,5.0,1.0,1,4,0,1
89,F1,25/09/05,Nantes,Lyon,0,1,A,0,0,D,13.0,6.0,10.0,3.0,2,5,0,1
90,F1,01/10/05,Metz,Bordeaux,0,1,A,0,0,D,9.0,11.0,1.0,3.0,2,2,1,0
91,F1,01/10/05,Paris SG,Nantes,2,0,H,0,0,D,24.0,8.0,9.0,0.0,3,5,0,0
92,F1,01/10/05,Sochaux,Nancy,0,2,A,0,0,D,11.0,10.0,6.0,5.0,1,1,0,0
93,F1,01/10/05,St Etienne,Le Mans,3,0,H,1,0,H,7.0,6.0,3.0,2.0,0,2,0,0
94,F1,02/10/05,Lille,Monaco,0,1,A,0,0,D,14.0,9.0,6.0,5.0,1,2,0,0
95,F1,02/10/05,Nice,Marseille,0,1,A,0,0,D,10.0,10.0,3.0,4.0,1,3,0,0
96,F1,02/10/05,Rennes,Lyon,1,3,A,1,0,H,6.0,12.0,2.0,7.0,2,2,0,0
97,F1,02/10/05,Toulouse,Auxerre,2,0,H,0,0,D,11.0,7.0,4.0,4.0,1,2,0,0
98,F1,02/10/05,Troyes,Strasbourg,1,1,D,0,1,A,6.0,6.0,2.0,4.0,3,3,0,0
99,F1,15/10/05,Auxerre,Troyes,3,0,H,1,0,H,12.0,6.0,7.0,3.0,2,1,0,0
100,F1,15/10/05,Bordeaux,Sochaux,1,1,D,0,1,A,11.0,4.0,8.0,2.0,3,2,0,0
101,F1,15/10/05,Le Mans,Lille,1,1,D,1,1,D,14.0,8.0,8.0,5.0,2,1,0,0
102,F1,15/10/05,Lens,Nice,2,2,D,0,1,A,8.0,10.0,7.0,6.0,3,1,0,0
103,F1,15/10/05,Monaco,Metz,3,0,H,0,0,D,9.0,5.0,5.0,2.0,1,2,0,0
104,F1,15/10/05,Nancy,Toulouse,2,0,H,1,0,H,14.0,8.0,4.0,2.0,3,3,0,0
105,F1,15/10/05,Nantes,St Etienne,1,1,D,1,1,D,17.0,13.0,8.0,4.0,1,2,0,0
106,F1,15/10/05,Strasbourg,Rennes,0,1,A,0,1,A,8.0,3.0,5.0,1.0,0,4,0,0
107,F1,16/10/05,Lyon,Ajaccio,3,2,H,1,1,D,8.0,9.0,5.0,8.0,4,1,0,0
108,F1,16/10/05,Marseille,Paris SG,1,0,H,0,0,D,31.0,8.0,6.0,2.0,3,4,0,0
109,F1,22/10/05,Lille,Nantes,2,0,H,1,0,H,11.0,10.0,4.0,4.0,3,0,0,0
110,F1,22/10/05,Metz,Lyon,0,4,A,0,3,A,10.0,9.0,4.0,6.0,2,0,0,0
111,F1,22/10/05,Nice,Auxerre,1,0,H,1,0,H,11.0,11.0,4.0,5.0,1,1,0,0
112,F1,22/10/05,Paris SG,Nancy,1,0,H,0,0,D,11.0,6.0,4.0,2.0,4,3,0,0
113,F1,22/10/05,Toulouse,Bordeaux,1,1,D,1,0,H,7.0,7.0,3.0,3.0,3,2,0,0
114,F1,23/10/05,Ajaccio,Rennes,0,1,A,0,1,A,10.0,5.0,4.0,2.0,1,3,0,0
115,F1,23/10/05,Le Mans,Strasbourg,2,0,H,2,0,H,5.0,8.0,3.0,5.0,1,2,0,0
116,F1,23/10/05,Sochaux,Monaco,2,1,H,2,0,H,12.0,12.0,5.0,6.0,3,5,0,0
