,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
71,P1,01/10/17,Sp Lisbon,Porto,0,0,D,0,0,D,3,9,1,6,13,17,10,2,2,3,0,0
72,P1,20/10/17,Estoril,Boavista,0,3,A,0,2,A,11,9,4,6,15,13,11,2,2,4,0,0
73,P1,21/10/17,Feirense,Rio Ave,1,0,H,1,0,H,6,6,2,3,18,12,5,5,5,5,1,2
74,P1,21/10/17,Porto,Pacos Ferreira,6,1,H,4,1,H,17,6,12,3,12,20,6,2,2,4,0,0
75,P1,21/10/17,Setubal,Maritimo,3,1,H,0,1,A,14,4,6,3,18,21,6,2,0,2,0,1
76,P1,22/10/17,Aves,Benfica,1,3,A,0,1,A,8,17,3,12,7,18,5,10,1,3,0,0
77,P1,22/10/17,Sp Lisbon,Chaves,5,1,H,3,0,H,8,7,5,2,15,11,4,4,1,1,0,0
78,P1,22/10/17,Tondela,Belenenses,2,0,H,0,0,D,16,8,5,2,19,23,2,1,4,4,0,1
79,P1,23/10/17,Guimaraes,Portimonense,3,3,D,1,3,A,14,8,8,6,16,18,8,3,1,2,0,0
80,P1,23/10/17,Moreirense,Sp Braga,0,1,A,0,0,D,1,13,1,6,21,22,4,7,3,2,0,0
81,P1,27/10/17,Benfica,Feirense,1,0,H,1,0,H,11,6,5,4,20,16,7,6,0,3,0,0
82,P1,27/10/17,Rio Ave,Sp Lisbon,0,1,A,0,0,D,19,5,5,1,12,12,8,3,0,2,0,0
83,P1,28/10/17,Belenenses,Moreirense,3,0,H,1,0,H,7,9,4,2,19,12,3,6,3,1,0,0
84,P1,28/10/17,Boavista,Porto,0,3,A,0,0,D,6,12,1,6,18,19,7,5,6,5,0,0
85,P1,28/10/17,Maritimo,Tondela,2,0,H,1,0,H,7,9,4,3,18,21,3,2,4,3,0,0
86,P1,29/10/17,Aves,Guimaraes,1,3,A,1,2,A,12,9,4,5,18,12,6,1,1,2,0,0
87,P1,29/10/17,Pacos Ferreira,Estoril,1,0,H,1,0,H,5,6,1,1,25,13,6,7,5,1,1,0
88,P1,29/10/17,Sp Braga,Chaves,1,0,H,0,0,D,8,6,5,2,20,12,12,5,3,1,0,0
89,P1,30/10/17,Portimonense,Setubal,5,2,H,3,1,H,13,7,11,4,23,9,4,2,3,3,0,1
90,P1,03/11/17,Setubal,Aves,0,1,A,0,0,D,7,6,4,5,12,23,2,7,3,4,1,0
91,P1,04/11/17,Estoril,Rio Ave,0,2,A,0,1,A,8,12,3,8,22,22,2,5,3,2,0,0
92,P1,04/11/17,Moreirense,Portimonense,1,1,D,1,1,D,7,12,5,4,18,9,3,4,2,1,0,0
93,P1,04/11/17,Porto,Belenenses,2,0,H,1,0,H,17,6,9,3,12,10,8,3,0,1,0,0
94,P1,04/11/17,Tondela,Boavista,3,2,H,0,0,D,15,11,6,4,14,18,3,9,1,2,0,0
95,P1,05/11/17,Chaves,Pacos Ferreira,4,2,H,1,1,D,12,12,7,6,10,19,7,4,3,2,0,0
96,P1,05/11/17,Feirense,Maritimo,0,1,A,0,1,A,8,6,1,4,15,17,9,4,3,6,0,1
97,P1,05/11/17,Guimaraes,Benfica,1,3,A,0,1,A,6,9,1,5,19,22,7,5,0,4,0,0
98,P1,05/11/17,Sp Lisbon,Sp Braga,2,2,D,0,0,D,11,8,6,4,15,22,5,9,1,3,0,0
99,P1,24/11/17,Belenenses,Chaves,0,1,A,0,1,A,8,8,4,1,17,27,10,4,4,2,1,0
100,P1,25/11/17,Aves,Porto,1,1,D,0,1,A,11,8,3,1,17,15,2,4,4,3,0,1
101,P1,25/11/17,Boavista,Moreirense,1,0,H,1,0,H,10,6,3,1,14,21,3,6,2,3,0,0
102,P1,25/11/17,Portimonense,Tondela,2,0,H,1,0,H,13,8,7,3,16,22,5,5,1,0,0,0
103,P1,26/11/17,Benfica,Setubal,6,0,H,2,0,H,17,3,12,2,20,15,12,2,2,2,0,1
104,P1,26/11/17,Maritimo,Estoril,0,0,D,0,0,D,2,13,1,4,13,18,2,6,1,2,0,0
105,P1,26/11/17,Pacos Ferreira,Sp Lisbon,1,2,A,0,1,A,12,7,5,5,14,16,10,5,5,5,0,0
106,P1,27/11/17,Rio Ave,Guimaraes,0,1,A,0,1,A,11,6,4,2,16,21,12,5,0,4,0,0
107,P1,27/11/17,Sp Braga,Feirense,3,1,H,3,1,H,10,8,7,4,16,20,6,3,0,2,0,0
108,P1,01/12/17,Porto,Benfica,0,0,D,0,0,D,9,3,5,1,5,15,7,5,1,3,0,1
109,P1,01/12/17,Sp Lisbon,Belenenses,1,0,H,1,0,H,8,8,4,3,15,16,5,3,1,3,0,0
110,P1,02/12/17,Chaves,Boavista,0,0,D,0,0,D,9,7,3,5,13,18,6,1,1,5,0,0
111,P1,02/12/17,Moreirense,Maritimo,1,1,D,1,1,D,11,2,5,2,15,15,8,3,3,1,1,0
112,P1,02/12/17,Tondela,Rio Ave,1,3,A,0,1,A,4,7,2,3,14,3,4,2,2,2,0,0
113,P1,03/12/17,Feirense,Aves,0,1,A,0,0,D,6,15,3,8,18,14,4,9,3,2,1,0
114,P1,03/12/17,Setubal,Guimaraes,1,2,A,0,1,A,13,6,4,2,17,25,7,3,2,5,0,0
115,P1,03/12/17,Sp Braga,Pacos Ferreira,3,0,H,0,0,D,11,2,6,1,15,20,8,4,2,3,0,1
116,P1,04/12/17,Estoril,Portimonense,0,0,D,0,0,D,14,7,6,2,8,17,7,4,1,4,0,0
117,P1,08/12/17,Rio Ave,Moreirense,2,1,H,0,0,D,11,4,6,2,8,23,3,1,3,4,0,0
118,P1,09/12/17,Aves,Tondela,0,1,A,0,0,D,16,10,8,4,16,18,1,4,3,2,1,0
119,P1,09/12/17,Benfica,Estoril,3,1,H,2,1,H,7,7,3,5,17,12,5,9,3,2,0,0
120,P1,09/12/17,Boavista,Sp Lisbon,1,3,A,0,1,A,4,9,2,6,18,16,2,5,1,2,0,0
121,P1,10/12/17,Belenenses,Pacos Ferreira,1,1,D,0,1,A,11,6,4,3,11,17,10,3,1,5,0,1
122,P1,10/12/17,Portimonense,Chaves,0,1,A,0,0,D,14,3,7,1,18,18,8,7,3,3,0,0
123,P1,10/12/17,Setubal,Porto,0,5,A,0,3,A,4,14,1,9,16,21,2,7,2,2,0,0
124,P1,11/12/17,Guimaraes,Feirense,1,0,H,0,0,D,9,2,3,0,22,24,8,2,3,4,0,0
125,P1,11/12/17,Maritimo,Sp Braga,1,0,H,0,0,D,5,7,2,2,31,22,2,4,2,3,0,0
126,P1,15/12/17,Pacos Ferreira,Boavista,1,2,A,1,0,H,11,5,6,4,23,9,4,4,3,1,0,0
127,P1,16/12/17,Estoril,Aves,3,2,H,1,1,D,17,6,11,4,17,14,5,3,3,1,0,0
128,P1,16/12/17,Sp Braga,Belenenses,4,0,H,1,0,H,12,3,6,2,18,17,1,3,0,0,0,0
129,P1,17/12/17,Chaves,Rio Ave,1,1,D,0,1,A,10,9,7,5,25,18,9,4,3,4,0,1
130,P1,17/12/17,Feirense,Setubal,1,0,H,1,0,H,3,4,1,2,29,18,4,2,4,2,0,0
131,P1,17/12/17,Sp Lisbon,Portimonense,2,0,H,1,0,H,11,6,6,1,10,11,3,2,1,3,0,1
132,P1,17/12/17,Tondela,Benfica,1,5,A,0,3,A,2,8,1,7,7,10,2,6,2,2,0,0
133,P1,18/12/17,Moreirense,Guimaraes,2,1,H,2,0,H,8,10,5,4,20,16,5,8,3,3,0,1
134,P1,18/12/17,Porto,Maritimo,3,1,H,2,1,H,15,4,5,2,13,11,9,1,1,3,0,1
135,P1,23/12/17,Guimaraes,Tondela,0,1,A,0,0,D,14,8,6,3,13,24,9,4,3,2,0,0
136,P1,03/01/18,Aves,Moreirense,1,2,A,0,2,A,17,8,7,3,20,16,6,5,3,3,0,0
137,P1,03/01/18,Benfica,Sp Lisbon,1,1,D,0,1,A,14,5,3,3,14,16,10,5,1,3,0,0
138,P1,03/01/18,Boavista,Sp Braga,1,3,A,0,1,A,6,5,5,4,19,15,6,2,5,6,1,1
