,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
105,P1,01/12/2019,20:00,Gil Vicente,Sp Lisbon,3,1,H,1,1,D,7,9,4,2,14,13,1,3,4,2,0,0
106,P1,02/12/2019,18:45,Sp Braga,Rio Ave,2,0,H,1,0,H,12,9,4,2,20,12,7,3,2,2,0,0
107,P1,02/12/2019,20:45,Porto,Pacos Ferreira,2,0,H,1,0,H,8,5,6,4,18,13,8,1,2,3,0,0
108,P1,06/12/2019,20:30,Boavista,Benfica,1,4,A,1,1,D,9,11,5,6,17,10,3,5,4,4,0,0
109,P1,07/12/2019,15:00,Maritimo,Santa Clara,2,2,D,1,1,D,12,6,7,2,12,19,11,4,3,4,0,0
110,P1,07/12/2019,18:00,Famalicao,Tondela,2,3,A,1,2,A,27,8,10,5,16,18,9,3,2,7,0,0
111,P1,07/12/2019,20:30,Aves,Sp Braga,1,0,H,1,0,H,6,13,1,2,24,17,3,13,5,5,0,0
112,P1,08/12/2019,15:00,Guimaraes,Portimonense,2,0,H,1,0,H,10,13,5,2,15,9,8,3,1,1,0,0
113,P1,08/12/2019,15:00,Pacos Ferreira,Setubal,2,3,A,0,1,A,21,9,4,4,24,16,8,5,4,5,0,0
114,P1,08/12/2019,17:30,Sp Lisbon,Moreirense,1,0,H,0,0,D,28,9,9,1,16,11,8,2,3,4,0,1
115,P1,08/12/2019,20:00,Belenenses,Porto,1,1,D,1,1,D,5,16,3,7,21,18,2,4,7,2,0,0
116,P1,09/12/2019,20:15,Rio Ave,Gil Vicente,1,0,H,0,0,D,9,8,2,4,20,18,7,1,3,2,1,0
117,P1,13/12/2019,20:30,Portimonense,Rio Ave,1,1,D,0,1,A,16,9,6,2,18,14,5,1,4,3,1,0
118,P1,14/12/2019,15:30,Maritimo,Boavista,1,0,H,1,0,H,9,11,3,1,19,26,4,6,2,1,0,1
119,P1,14/12/2019,18:00,Benfica,Famalicao,4,0,H,1,0,H,17,8,6,4,7,7,8,3,0,2,0,0
120,P1,14/12/2019,20:30,Setubal,Aves,1,0,H,0,0,D,11,11,2,5,19,18,7,6,4,3,0,0
121,P1,15/12/2019,15:00,Moreirense,Belenenses,2,1,H,0,1,A,13,8,7,2,18,15,8,3,1,5,0,1
122,P1,15/12/2019,17:30,Gil Vicente,Guimaraes,2,2,D,2,0,H,6,16,4,7,15,17,3,7,4,1,0,0
123,P1,15/12/2019,20:00,Sp Braga,Pacos Ferreira,0,1,A,0,1,A,23,3,5,1,14,22,10,3,1,5,0,0
124,P1,16/12/2019,19:00,Santa Clara,Sp Lisbon,0,4,A,0,1,A,12,19,3,7,12,6,2,8,1,1,0,0
125,P1,16/12/2019,20:15,Porto,Tondela,3,0,H,2,0,H,12,2,5,0,16,9,8,0,0,0,0,0
126,P1,04/01/2020,15:30,Aves,Santa Clara,0,1,A,0,0,D,10,3,4,3,16,10,7,9,4,2,0,0
127,P1,04/01/2020,15:30,Boavista,Portimonense,1,1,D,0,0,D,5,6,2,5,16,15,4,5,1,2,0,0
128,P1,04/01/2020,18:00,Belenenses,Sp Braga,1,7,A,1,4,A,3,18,2,15,11,13,2,4,4,1,1,0
129,P1,04/01/2020,20:30,Guimaraes,Benfica,0,1,A,0,1,A,11,4,5,3,12,15,6,7,4,3,1,0
130,P1,05/01/2020,15:00,Pacos Ferreira,Moreirense,1,0,H,1,0,H,6,5,3,1,20,16,2,5,4,4,0,0
131,P1,05/01/2020,15:00,Rio Ave,Maritimo,0,1,A,0,0,D,6,6,3,3,11,25,3,2,1,5,0,0
132,P1,05/01/2020,15:00,Tondela,Gil Vicente,1,1,D,1,1,D,7,10,1,9,19,21,3,5,2,2,0,0
133,P1,05/01/2020,17:30,Sp Lisbon,Porto,1,2,A,1,1,D,11,9,2,7,21,16,4,3,5,5,0,0
134,P1,05/01/2020,20:00,Famalicao,Setubal,3,0,H,1,0,H,13,4,7,2,24,13,3,2,2,1,0,0
135,P1,10/01/2020,19:00,Benfica,Aves,2,1,H,0,1,A,28,6,11,3,12,11,17,2,4,2,0,0
136,P1,10/01/2020,19:00,Santa Clara,Rio Ave,0,1,A,0,0,D,8,5,4,3,12,22,3,4,2,3,0,0
137,P1,10/01/2020,21:15,Moreirense,Porto,2,4,A,2,2,D,8,14,5,6,11,11,4,7,2,4,0,1
138,P1,11/01/2020,15:30,Portimonense,Pacos Ferreira,0,0,D,0,0,D,8,2,4,0,18,21,3,4,2,3,0,0
139,P1,11/01/2020,18:00,Boavista,Famalicao,0,1,A,0,0,D,9,8,3,5,17,25,8,5,5,4,1,1
140,P1,11/01/2020,20:30,Setubal,Sp Lisbon,1,3,A,0,2,A,10,9,2,5,7,13,3,5,3,3,0,0
141,P1,12/01/2020,15:00,Gil Vicente,Belenenses,2,0,H,0,0,D,9,4,7,2,16,20,5,5,0,0,0,0
142,P1,12/01/2020,17:30,Maritimo,Guimaraes,0,0,D,0,0,D,4,15,1,9,19,16,3,16,1,2,0,0
143,P1,12/01/2020,20:00,Sp Braga,Tondela,2,1,H,0,1,A,17,6,6,2,10,10,9,1,4,3,0,0
144,P1,17/01/2020,19:00,Porto,Sp Braga,1,2,A,0,1,A,7,2,3,1,21,14,10,5,5,6,0,0
145,P1,17/01/2020,21:15,Sp Lisbon,Benfica,0,2,A,0,0,D,10,9,6,4,17,11,6,3,4,4,0,0
146,P1,18/01/2020,15:30,Aves,Portimonense,3,0,H,0,0,D,12,9,7,1,12,12,5,7,3,3,0,0
147,P1,18/01/2020,15:30,Guimaraes,Santa Clara,1,0,H,0,0,D,15,3,5,1,15,21,5,4,4,5,0,0
148,P1,18/01/2020,18:00,Tondela,Moreirense,1,1,D,0,0,D,16,5,4,1,11,21,2,2,1,3,0,0
149,P1,18/01/2020,20:30,Belenenses,Setubal,0,1,A,0,1,A,10,7,1,4,16,19,9,3,2,5,0,0
150,P1,19/01/2020,15:00,Pacos Ferreira,Gil Vicente,0,0,D,0,0,D,8,8,5,3,16,13,7,4,1,1,0,0
151,P1,19/01/2020,17:30,Famalicao,Maritimo,1,1,D,0,1,A,17,4,6,2,20,14,6,2,2,5,0,0
152,P1,19/01/2020,20:00,Rio Ave,Boavista,2,0,H,2,0,H,3,6,2,2,15,21,4,5,1,4,0,0
153,P1,26/01/2020,15:00,Belenenses,Portimonense,2,1,H,1,0,H,9,13,4,6,13,13,2,6,1,2,0,0
154,P1,26/01/2020,15:00,Famalicao,Santa Clara,0,1,A,0,1,A,11,5,1,2,14,14,12,7,2,4,0,0
155,P1,26/01/2020,15:00,Tondela,Setubal,0,3,A,0,2,A,12,5,6,4,17,16,11,2,1,2,0,0
156,P1,26/01/2020,17:30,Pacos Ferreira,Benfica,0,2,A,0,1,A,6,11,2,6,17,16,6,7,3,2,0,0
157,P1,26/01/2020,20:00,Aves,Boavista,0,1,A,0,1,A,3,9,2,3,15,24,4,4,4,5,0,0
158,P1,27/01/2020,18:45,Guimaraes,Rio Ave,1,2,A,0,2,A,14,5,7,3,14,18,14,1,0,4,0,0
159,P1,27/01/2020,21:00,Sp Lisbon,Maritimo,1,0,H,0,0,D,14,4,5,2,14,14,12,3,2,3,0,0
160,P1,28/01/2020,20:15,Porto,Gil Vicente,2,1,H,1,1,D,6,6,2,2,24,24,5,2,2,3,0,1
161,P1,29/01/2020,20:15,Moreirense,Sp Braga,1,2,A,0,2,A,6,11,4,6,14,15,2,6,3,3,0,1
