,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HFKC,AFKC,HC,AC,HY,AY,HR,AR
78,B1,15/10/17,Oostende,Club Brugge,2,3,A,2,2,D,11,11,4,7,17,15,4,4,4,3,0,1
79,B1,15/10/17,Standard,Kortrijk,3,1,H,3,1,H,9,3,3,1,14,19,4,4,3,3,1,1
80,B1,20/10/17,Mouscron,Standard,1,3,A,0,1,A,9,12,4,6,15,21,3,2,2,3,0,0
81,B1,21/10/17,Eupen,Mechelen,4,1,H,3,1,H,13,13,8,8,17,13,6,8,4,2,0,0
82,B1,21/10/17,Kortrijk,Gent,1,1,D,0,0,D,6,15,4,5,18,19,3,11,3,2,0,0
83,B1,21/10/17,Lokeren,Charleroi,1,1,D,1,0,H,6,14,3,7,13,11,1,5,1,0,0,0
84,B1,21/10/17,St Truiden,Oostende,1,0,H,0,0,D,15,11,6,5,20,30,2,5,1,4,0,0
85,B1,22/10/17,Anderlecht,Genk,0,1,A,0,0,D,5,8,2,1,16,16,8,4,4,2,0,0
86,B1,22/10/17,Club Brugge,Antwerp,1,0,H,1,0,H,10,8,2,4,26,23,5,3,2,5,0,0
87,B1,22/10/17,Waregem,Waasland-Beveren,2,5,A,1,2,A,9,11,4,7,21,16,11,2,1,1,0,0
88,B1,24/10/17,Gent,Eupen,3,0,H,3,0,H,9,7,6,2,22,12,4,2,4,4,0,0
89,B1,24/10/17,Mechelen,Lokeren,0,2,A,0,1,A,14,5,4,3,14,26,15,3,3,4,0,0
90,B1,24/10/17,Oostende,Charleroi,3,0,H,1,0,H,9,13,8,5,27,18,3,7,1,2,0,0
91,B1,25/10/17,Anderlecht,Waregem,2,0,H,0,0,D,13,7,7,2,10,13,7,3,1,1,0,0
92,B1,25/10/17,Genk,Club Brugge,2,0,H,1,0,H,9,4,2,2,12,23,3,3,3,1,0,0
93,B1,25/10/17,Waasland-Beveren,Kortrijk,2,1,H,0,0,D,20,7,10,3,12,20,12,4,1,4,0,0
94,B1,26/10/17,Antwerp,Standard,0,0,D,0,0,D,8,5,4,5,23,18,7,3,3,2,0,0
95,B1,26/10/17,St Truiden,Mouscron,1,0,H,0,0,D,12,2,2,0,23,23,9,1,0,5,0,0
96,B1,27/10/17,Charleroi,Gent,2,1,H,1,0,H,8,6,5,2,14,9,3,6,3,3,0,0
97,B1,28/10/17,Eupen,Anderlecht,2,3,A,0,3,A,15,5,8,2,15,22,6,4,3,0,0,0
98,B1,28/10/17,Kortrijk,Genk,0,0,D,0,0,D,10,9,5,2,24,18,5,7,3,1,0,0
99,B1,28/10/17,Lokeren,Oostende,0,3,A,0,2,A,10,12,3,6,9,14,5,7,0,2,0,0
100,B1,28/10/17,Waregem,Mechelen,2,1,H,1,1,D,12,6,8,1,19,14,12,1,3,1,0,0
101,B1,29/10/17,Club Brugge,St Truiden,4,1,H,2,1,H,22,7,11,4,22,15,5,2,2,0,0,0
102,B1,29/10/17,Mouscron,Antwerp,2,2,D,1,0,H,10,8,7,6,14,20,6,10,2,2,0,0
103,B1,29/10/17,Standard,Waasland-Beveren,3,1,H,3,0,H,12,7,6,3,14,19,5,4,1,4,0,0
104,B1,03/11/17,Gent,Standard,1,0,H,0,0,D,11,9,5,4,21,20,10,5,2,2,0,0
105,B1,04/11/17,Genk,Lokeren,0,0,D,0,0,D,14,7,4,4,16,21,4,2,3,2,0,0
106,B1,04/11/17,Mechelen,Kortrijk,2,0,H,0,0,D,17,3,9,1,11,22,4,4,3,2,0,0
107,B1,04/11/17,St Truiden,Eupen,4,4,D,1,0,H,10,9,6,5,23,18,4,4,1,3,0,0
108,B1,04/11/17,Waasland-Beveren,Mouscron,2,0,H,1,0,H,8,14,7,6,20,13,4,4,3,1,0,0
109,B1,05/11/17,Anderlecht,Club Brugge,0,0,D,0,0,D,11,12,4,3,20,20,4,4,2,4,0,0
110,B1,05/11/17,Antwerp,Charleroi,1,3,A,1,2,A,10,10,4,4,19,8,7,2,0,0,0,0
111,B1,05/11/17,Oostende,Waregem,4,2,H,2,0,H,12,14,7,6,7,10,2,10,1,5,1,0
112,B1,17/11/17,Charleroi,Mechelen,2,0,H,1,0,H,9,9,6,6,22,10,2,3,2,1,0,1
113,B1,18/11/17,Eupen,Antwerp,0,1,A,0,0,D,9,6,5,3,15,22,4,3,0,5,0,0
114,B1,18/11/17,Kortrijk,St Truiden,3,2,H,1,0,H,10,10,8,4,15,22,6,10,3,3,1,0
115,B1,18/11/17,Mouscron,Anderlecht,1,2,A,0,1,A,11,11,4,4,9,16,5,4,0,1,0,0
116,B1,18/11/17,Standard,Oostende,0,0,D,0,0,D,8,4,3,1,13,15,8,3,1,2,1,2
117,B1,19/11/17,Club Brugge,Waasland-Beveren,3,0,H,1,0,H,16,4,9,1,18,20,8,4,1,1,0,0
118,B1,19/11/17,Lokeren,Gent,0,3,A,0,1,A,3,15,3,7,19,25,1,5,3,4,1,0
119,B1,19/11/17,Waregem,Genk,0,1,A,0,1,A,8,9,2,3,14,13,7,3,1,3,0,0
120,B1,24/11/17,Gent,Mouscron,3,1,H,2,1,H,13,7,5,5,11,22,4,4,1,3,0,0
121,B1,25/11/17,Antwerp,Mechelen,0,0,D,0,0,D,7,12,3,5,24,16,3,6,2,3,0,0
122,B1,25/11/17,Oostende,Eupen,1,0,H,0,0,D,9,6,6,2,18,16,8,5,2,1,0,0
123,B1,25/11/17,St Truiden,Lokeren,0,0,D,0,0,D,13,0,8,0,14,23,8,2,2,3,0,2
124,B1,25/11/17,Waasland-Beveren,Charleroi,0,2,A,0,0,D,13,6,7,4,13,13,6,4,1,3,0,1
125,B1,26/11/17,Anderlecht,Kortrijk,4,0,H,2,0,H,12,6,7,0,16,15,7,2,2,2,0,0
126,B1,26/11/17,Club Brugge,Waregem,3,2,H,0,1,A,10,5,6,3,13,19,11,1,3,3,0,0
127,B1,26/11/17,Genk,Standard,0,2,A,0,1,A,3,5,1,4,21,22,4,1,3,2,0,0
128,B1,01/12/17,Charleroi,Oostende,1,1,D,1,0,H,7,11,4,8,22,17,2,6,3,4,0,0
129,B1,02/12/17,Kortrijk,Waasland-Beveren,4,1,H,2,0,H,12,17,7,7,21,18,2,7,2,1,0,0
130,B1,02/12/17,Lokeren,Anderlecht,1,2,A,1,1,D,14,17,4,6,16,19,3,2,2,5,0,0
131,B1,02/12/17,Mechelen,Genk,3,2,H,3,0,H,5,11,3,6,20,13,3,6,2,3,0,0
132,B1,02/12/17,Mouscron,St Truiden,1,1,D,1,1,D,7,10,5,4,25,18,5,5,3,2,0,0
133,B1,03/12/17,Eupen,Club Brugge,2,2,D,2,0,H,6,9,2,5,12,23,4,5,4,3,0,0
134,B1,03/12/17,Standard,Antwerp,1,1,D,1,0,H,8,5,2,3,12,16,4,4,2,1,0,0
135,B1,03/12/17,Waregem,Gent,0,1,A,0,1,A,10,10,4,6,20,20,6,4,4,5,0,1
136,B1,08/12/17,Waasland-Beveren,Standard,3,1,H,1,1,D,16,9,7,4,19,27,4,6,1,2,0,0
137,B1,09/12/17,Antwerp,Mouscron,1,0,H,0,0,D,18,7,8,4,20,13,6,5,0,0,0,0
138,B1,09/12/17,Genk,Eupen,1,1,D,1,1,D,9,5,5,2,22,15,4,0,2,4,0,0
139,B1,09/12/17,Gent,Kortrijk,2,1,H,2,1,H,11,5,4,2,27,16,11,3,1,1,0,0
140,B1,09/12/17,Oostende,Mechelen,0,1,A,0,1,A,9,6,4,3,13,16,6,2,0,0,0,0
141,B1,10/12/17,Anderlecht,Charleroi,1,3,A,0,1,A,12,11,7,8,19,19,5,2,5,4,2,1
142,B1,10/12/17,Club Brugge,Lokeren,3,1,H,3,0,H,9,7,7,4,18,14,10,5,0,0,0,0
143,B1,10/12/17,St Truiden,Waregem,1,1,D,0,1,A,5,8,2,6,15,23,2,7,2,1,1,0
144,B1,15/12/17,Mouscron,Oostende,1,0,H,0,0,D,15,12,7,2,22,20,3,7,1,0,0,0
145,B1,16/12/17,Eupen,St Truiden,0,0,D,0,0,D,9,7,4,2,16,26,4,5,2,1,0,0
146,B1,16/12/17,Kortrijk,Mechelen,2,0,H,2,0,H,4,9,3,3,22,13,3,6,3,1,0,0
