,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
58,B1,27/09/2020,12:30,Standard,Waregem,2,2,D,0,1,A,16,5,4,2,11,26,7,2,2,3,0,0
59,B1,27/09/2020,15:00,Anderlecht,Eupen,1,1,D,0,0,D,6,8,3,5,12,20,9,5,2,4,0,0
60,B1,27/09/2020,17:15,Club Brugge,Cercle Brugge,2,1,H,1,0,H,21,10,5,1,10,10,8,5,1,2,0,0
61,B1,27/09/2020,19:45,Mouscron,Charleroi,1,1,D,1,1,D,7,19,2,6,6,6,0,6,1,1,0,0
62,B1,28/09/2020,19:45,Genk,Oostende,2,2,D,1,1,D,11,17,5,11,7,22,6,5,1,5,1,0
63,B1,02/10/2020,19:45,Antwerp,Mechelen,4,1,H,3,0,H,11,15,6,5,8,13,4,6,1,2,0,0
64,B1,03/10/2020,15:15,Waasland-Beveren,Genk,1,1,D,0,0,D,18,13,8,2,10,12,4,6,3,3,0,0
65,B1,03/10/2020,17:30,Eupen,Cercle Brugge,1,2,A,1,1,D,10,16,3,6,12,12,8,3,5,4,0,0
66,B1,03/10/2020,17:30,Oud-Heverlee Leuven,Waregem,2,1,H,1,0,H,12,21,7,3,13,7,9,9,1,0,0,0
67,B1,03/10/2020,19:45,St Truiden,Kortrijk,0,0,D,0,0,D,23,5,4,2,15,17,9,4,3,2,0,1
68,B1,04/10/2020,12:30,Club Brugge,Anderlecht,3,0,H,1,0,H,22,5,6,2,18,15,8,1,1,4,0,1
69,B1,04/10/2020,15:00,Gent,Beerschot VA,5,1,H,3,0,H,22,20,6,7,11,13,6,5,1,1,0,0
70,B1,04/10/2020,17:15,Charleroi,Standard,1,2,A,0,0,D,7,10,2,5,8,12,7,8,2,3,0,0
71,B1,04/10/2020,19:45,Oostende,Mouscron,3,0,H,0,0,D,16,4,5,1,10,7,6,0,1,0,0,0
72,B1,17/10/2020,15:15,Cercle Brugge,Gent,5,2,H,2,1,H,14,17,9,6,7,12,5,9,0,0,0,0
73,B1,17/10/2020,17:30,Beerschot VA,St Truiden,6,3,H,5,1,H,15,12,7,5,14,16,4,4,0,4,0,0
74,B1,17/10/2020,17:30,Mechelen,Kortrijk,1,2,A,0,0,D,19,12,6,6,12,7,7,6,2,1,1,0
75,B1,17/10/2020,19:45,Standard,Club Brugge,1,1,D,0,1,A,13,9,4,3,11,16,8,5,2,3,0,0
76,B1,18/10/2020,12:30,Waregem,Antwerp,1,3,A,1,0,H,15,22,6,12,6,9,3,9,1,1,0,0
77,B1,18/10/2020,15:00,Mouscron,Eupen,0,2,A,0,0,D,17,13,6,6,9,15,5,4,3,1,0,0
78,B1,18/10/2020,17:15,Genk,Charleroi,2,1,H,1,0,H,11,14,6,5,21,15,4,5,4,2,1,0
79,B1,18/10/2020,19:30,Anderlecht,Oud-Heverlee Leuven,2,2,D,2,0,H,21,18,4,6,10,16,3,8,1,2,0,0
80,B1,23/10/2020,19:45,Kortrijk,Anderlecht,1,3,A,0,2,A,14,16,3,7,10,20,4,3,0,2,0,0
81,B1,24/10/2020,19:45,Oud-Heverlee Leuven,Club Brugge,2,1,H,1,1,D,12,20,6,10,14,14,4,4,2,3,0,0
82,B1,25/10/2020,12:30,Antwerp,Beerschot VA,3,2,H,2,1,H,11,11,3,2,10,11,8,6,4,2,0,0
83,B1,25/10/2020,15:00,Oostende,Waregem,3,0,H,3,0,H,15,22,9,4,14,13,4,10,1,1,0,0
84,B1,25/10/2020,17:15,St Truiden,Standard,2,0,H,1,0,H,9,10,2,4,12,13,4,3,1,1,0,0
85,B1,26/10/2020,19:45,Gent,Genk,1,2,A,1,1,D,16,8,6,3,15,10,8,3,1,2,0,0
86,B1,30/10/2020,19:45,Genk,Eupen,4,0,H,1,0,H,14,15,8,4,12,12,3,6,1,2,0,0
87,B1,31/10/2020,15:15,Beerschot VA,Oud-Heverlee Leuven,4,2,H,2,1,H,18,18,9,5,19,11,7,5,5,1,0,0
88,B1,31/10/2020,17:30,Charleroi,Cercle Brugge,3,0,H,0,0,D,20,9,9,3,18,8,11,1,2,1,0,0
89,B1,31/10/2020,19:45,Club Brugge,Mechelen,2,2,D,2,1,H,14,10,5,7,15,4,3,2,1,0,0,0
90,B1,01/11/2020,12:30,Anderlecht,Antwerp,1,0,H,0,0,D,14,15,4,6,8,9,4,6,0,3,0,0
91,B1,01/11/2020,17:15,Standard,Oostende,1,0,H,0,0,D,13,10,2,2,13,19,9,4,1,3,0,0
92,B1,01/11/2020,19:45,Waasland-Beveren,Gent,1,4,A,0,4,A,14,16,4,9,10,8,7,3,4,0,0,0
93,B1,02/11/2020,19:45,Waregem,Kortrijk,1,1,D,0,0,D,8,16,2,5,20,8,3,9,2,0,1,0
94,B1,06/11/2020,19:45,Mechelen,Charleroi,3,3,D,2,1,H,20,9,7,2,9,12,4,6,2,3,0,0
95,B1,07/11/2020,15:15,Kortrijk,Beerschot VA,5,5,D,2,1,H,23,23,8,12,11,14,6,6,2,2,0,0
96,B1,07/11/2020,17:30,Eupen,Waasland-Beveren,1,1,D,0,1,A,25,9,8,3,12,12,14,4,1,2,0,0
97,B1,07/11/2020,19:45,St Truiden,Genk,1,2,A,1,2,A,15,8,2,5,21,19,11,4,5,2,1,0
98,B1,08/11/2020,12:30,Antwerp,Standard,1,1,D,1,0,H,17,10,4,3,4,14,3,3,0,3,0,0
99,B1,08/11/2020,15:00,Oostende,Club Brugge,1,3,A,1,1,D,14,15,5,7,10,8,4,8,3,0,1,0
100,B1,08/11/2020,17:15,Gent,Anderlecht,1,1,D,0,1,A,8,10,3,3,20,13,2,7,3,4,0,0
101,B1,08/11/2020,19:45,Cercle Brugge,Waregem,1,3,A,0,2,A,14,16,5,6,8,13,4,8,3,3,0,0
102,B1,21/11/2020,15:15,Standard,Eupen,2,2,D,1,1,D,14,11,6,5,11,22,3,3,2,0,1,0
103,B1,21/11/2020,17:30,Oostende,Antwerp,1,1,D,0,0,D,14,12,3,5,13,8,7,5,1,1,0,0
104,B1,21/11/2020,17:30,Waasland-Beveren,Cercle Brugge,0,2,A,0,1,A,12,9,5,5,11,11,5,7,4,3,1,0
105,B1,21/11/2020,19:45,Club Brugge,Kortrijk,1,0,H,0,0,D,17,5,4,2,8,18,7,2,0,3,0,0
106,B1,22/11/2020,12:30,Beerschot VA,Anderlecht,2,1,H,1,0,H,13,13,10,2,21,17,5,3,2,2,0,0
107,B1,22/11/2020,15:00,Waregem,Mechelen,1,2,A,0,1,A,5,9,1,3,11,26,3,4,0,2,0,0
108,B1,22/11/2020,17:15,Charleroi,Gent,0,1,A,0,1,A,5,9,3,4,10,18,3,4,1,2,0,0
109,B1,22/11/2020,19:45,Genk,Mouscron,4,1,H,1,1,D,15,17,10,3,10,22,5,3,1,4,0,0
110,B1,23/11/2020,19:45,Oud-Heverlee Leuven,St Truiden,2,2,D,1,1,D,18,10,7,3,16,19,4,1,1,4,0,0
111,B1,24/11/2020,16:00,Waasland-Beveren,Oostende,2,0,H,0,0,D,14,12,5,2,10,13,2,6,2,2,0,0
112,B1,25/11/2020,16:00,Cercle Brugge,Mouscron,1,2,A,0,0,D,13,9,3,2,12,11,4,5,4,2,0,0
113,B1,27/11/2020,19:45,Eupen,Charleroi,3,1,H,1,0,H,6,15,3,2,14,11,6,3,1,5,0,0
114,B1,28/11/2020,15:15,St Truiden,Waasland-Beveren,1,1,D,1,0,H,8,14,4,4,14,13,10,7,3,1,0,0
115,B1,28/11/2020,17:30,Cercle Brugge,Genk,1,5,A,0,4,A,8,18,2,11,9,5,2,6,2,0,0,0
116,B1,28/11/2020,19:45,Mouscron,Club Brugge,0,0,D,0,0,D,4,14,3,1,20,15,1,4,2,3,0,0
117,B1,29/11/2020,12:30,Mechelen,Beerschot VA,2,3,A,2,1,H,12,9,3,5,12,11,3,2,4,2,1,0
118,B1,29/11/2020,15:00,Gent,Waregem,0,3,A,0,2,A,13,10,4,5,15,8,8,0,1,1,0,0
119,B1,29/11/2020,17:15,Anderlecht,Standard,0,0,D,0,0,D,7,12,1,3,14,11,2,6,2,2,0,0
120,B1,29/11/2020,19:45,Kortrijk,Oostende,3,1,H,1,1,D,19,15,10,9,11,12,5,6,0,3,0,0
