,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
62,N1,01/10/17,Vitesse,Utrecht,1,1,D,0,0,D,14,7,4,1,10,18,4,3,2,2,0,0
63,N1,14/10/17,Ajax,Sparta Rotterdam,4,0,H,1,0,H,25,6,14,2,16,18,8,1,1,1,0,0
64,N1,14/10/17,Feyenoord,Zwolle,0,0,D,0,0,D,18,10,5,3,9,18,10,4,2,3,0,0
65,N1,14/10/17,Roda,NAC Breda,1,0,H,0,0,D,12,9,4,3,14,12,4,1,1,2,0,0
66,N1,14/10/17,Utrecht,Heerenveen,3,1,H,2,1,H,10,8,4,2,10,15,2,8,2,2,0,0
67,N1,15/10/17,Den Haag,Excelsior,1,2,A,1,1,D,8,11,3,6,12,23,8,4,4,4,1,0
68,N1,15/10/17,Groningen,AZ Alkmaar,1,1,D,0,1,A,8,22,4,8,14,10,4,7,4,1,0,0
69,N1,15/10/17,Heracles,Vitesse,1,1,D,0,0,D,12,12,4,3,16,20,2,4,1,1,0,0
70,N1,15/10/17,VVV Venlo,PSV Eindhoven,2,5,A,1,1,D,9,34,6,13,8,9,4,11,1,2,1,0
71,N1,15/10/17,Willem II,Twente,3,1,H,1,1,D,6,10,4,3,17,16,2,1,3,1,0,0
72,N1,20/10/17,Groningen,Willem II,0,1,A,0,1,A,15,10,5,3,11,17,4,7,2,0,1,0
73,N1,21/10/17,Excelsior,Sparta Rotterdam,1,1,D,0,0,D,8,15,4,6,20,14,4,12,4,2,0,0
74,N1,21/10/17,NAC Breda,Zwolle,0,2,A,0,1,A,15,22,6,8,11,12,9,7,2,2,0,0
75,N1,21/10/17,Twente,Roda,3,0,H,1,0,H,13,5,5,2,10,11,4,2,2,2,0,0
76,N1,21/10/17,VVV Venlo,Den Haag,0,2,A,0,0,D,9,5,4,2,10,11,7,3,2,0,0,0
77,N1,22/10/17,AZ Alkmaar,Utrecht,3,0,H,1,0,H,14,10,6,3,16,14,5,5,3,2,0,0
78,N1,22/10/17,Feyenoord,Ajax,1,4,A,0,0,D,10,13,4,7,18,20,1,5,2,4,0,0
79,N1,22/10/17,Heerenveen,Vitesse,0,4,A,0,2,A,9,13,2,5,17,13,2,4,0,0,0,0
80,N1,22/10/17,PSV Eindhoven,Heracles,3,0,H,1,0,H,24,7,6,3,14,16,11,4,1,3,0,1
81,N1,27/10/17,Twente,Excelsior,1,3,A,1,1,D,17,8,7,5,11,18,10,3,2,1,0,0
82,N1,28/10/17,Heracles,VVV Venlo,3,0,H,2,0,H,19,14,9,5,10,10,8,3,1,1,0,0
83,N1,28/10/17,Roda,Feyenoord,1,1,D,1,1,D,9,32,2,10,13,11,3,16,1,1,0,0
84,N1,28/10/17,Willem II,Ajax,1,3,A,0,0,D,10,24,4,6,11,13,7,10,2,1,0,0
85,N1,28/10/17,Zwolle,Den Haag,2,0,H,2,0,H,14,6,6,0,12,17,2,4,0,3,0,0
86,N1,29/10/17,Heerenveen,AZ Alkmaar,1,2,A,1,0,H,8,20,4,6,21,16,2,4,3,4,0,0
87,N1,29/10/17,Sparta Rotterdam,Groningen,2,1,H,2,1,H,18,15,4,5,10,9,9,6,1,0,1,0
88,N1,29/10/17,Utrecht,NAC Breda,2,2,D,1,1,D,23,15,8,4,16,11,13,4,3,3,0,0
89,N1,29/10/17,Vitesse,PSV Eindhoven,2,4,A,1,1,D,11,20,4,9,13,15,7,2,3,4,0,0
90,N1,03/11/17,Sparta Rotterdam,Heerenveen,0,0,D,0,0,D,8,8,1,2,11,19,4,7,2,2,0,0
91,N1,04/11/17,AZ Alkmaar,Willem II,3,2,H,1,1,D,19,7,9,2,12,8,5,4,2,1,1,0
92,N1,04/11/17,Excelsior,Roda,1,0,H,1,0,H,15,7,4,3,14,12,1,5,1,0,0,1
93,N1,04/11/17,Heracles,Groningen,2,1,H,1,1,D,19,19,5,5,15,16,6,7,1,2,0,0
94,N1,04/11/17,VVV Venlo,NAC Breda,0,0,D,0,0,D,10,10,0,4,14,9,3,4,0,2,0,0
95,N1,05/11/17,Ajax,Utrecht,1,2,A,1,1,D,18,8,4,5,9,18,10,2,2,3,0,0
96,N1,05/11/17,Den Haag,Feyenoord,2,2,D,1,1,D,12,17,4,7,6,8,11,2,0,1,0,0
97,N1,05/11/17,PSV Eindhoven,Twente,4,3,H,1,1,D,18,10,8,4,6,16,8,6,1,2,0,0
98,N1,05/11/17,Vitesse,Zwolle,0,0,D,0,0,D,10,8,2,3,12,14,7,1,0,0,0,0
99,N1,18/11/17,Feyenoord,VVV Venlo,1,1,D,0,0,D,22,2,8,1,11,10,13,1,0,2,0,0
100,N1,18/11/17,NAC Breda,Ajax,0,8,A,0,5,A,13,30,6,14,6,7,3,9,1,0,0,0
101,N1,18/11/17,Twente,Heerenveen,0,4,A,0,2,A,10,11,1,7,14,12,5,6,2,1,0,0
102,N1,18/11/17,Willem II,Sparta Rotterdam,2,2,D,0,2,A,12,6,4,3,14,11,7,2,2,1,0,0
103,N1,19/11/17,Den Haag,Heracles,4,1,H,1,1,D,25,14,10,8,5,7,9,8,0,2,0,0
104,N1,19/11/17,Groningen,Vitesse,4,2,H,0,1,A,12,20,4,6,13,17,2,2,6,4,1,0
105,N1,19/11/17,Roda,AZ Alkmaar,0,1,A,0,0,D,10,15,3,4,14,16,1,7,0,2,0,0
