,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
124,N1,23/12/2020,20:00,Feyenoord,Heerenveen,3,0,H,0,0,D,28,11,9,4,9,9,6,1,0,1,0,0
125,N1,27/12/2020,13:30,Utrecht,AZ Alkmaar,2,2,D,1,0,H,14,12,6,6,13,4,8,4,3,0,0,0
126,N1,09/01/2021,15:30,Waalwijk,Den Haag,0,1,A,0,1,A,17,11,5,5,19,14,2,5,1,2,0,0
127,N1,09/01/2021,17:45,FC Emmen,Twente,1,4,A,0,3,A,8,10,1,6,13,12,2,2,0,1,0,0
128,N1,09/01/2021,19:00,Heracles,Vitesse,0,2,A,0,1,A,12,12,5,3,7,13,3,7,3,1,0,0
129,N1,09/01/2021,19:00,Zwolle,AZ Alkmaar,1,1,D,1,0,H,5,15,2,4,8,10,3,11,1,0,0,0
130,N1,09/01/2021,20:00,Utrecht,Groningen,2,2,D,1,2,A,19,7,6,2,11,6,9,2,2,1,0,0
131,N1,10/01/2021,11:15,Sparta Rotterdam,Feyenoord,0,2,A,0,1,A,11,13,1,3,10,10,6,4,2,0,0,0
132,N1,10/01/2021,13:30,Heerenveen,For Sittard,1,3,A,0,3,A,10,9,2,4,16,12,5,4,0,0,0,0
133,N1,10/01/2021,13:30,VVV Venlo,Willem II,2,1,H,0,1,A,12,17,4,6,18,10,5,1,1,2,0,0
134,N1,10/01/2021,15:45,Ajax,PSV Eindhoven,2,2,D,1,2,A,11,7,4,7,8,8,6,6,1,1,0,0
135,N1,12/01/2021,17:45,Vitesse,Utrecht,1,0,H,1,0,H,16,8,4,5,12,21,8,7,1,1,0,0
136,N1,12/01/2021,20:00,Heracles,FC Emmen,4,0,H,2,0,H,20,8,11,1,8,13,12,4,0,2,0,0
137,N1,13/01/2021,17:45,PSV Eindhoven,AZ Alkmaar,1,3,A,0,2,A,14,6,3,4,12,12,7,3,3,3,0,0
138,N1,13/01/2021,19:00,Den Haag,VVV Venlo,1,4,A,0,1,A,14,15,4,8,12,12,6,1,3,3,0,0
139,N1,13/01/2021,19:00,For Sittard,Sparta Rotterdam,0,1,A,0,0,D,9,19,4,5,14,12,4,5,3,0,0,0
140,N1,13/01/2021,20:00,Feyenoord,Zwolle,1,0,H,0,0,D,21,8,4,2,6,5,10,5,0,0,0,0
141,N1,14/01/2021,17:45,Heerenveen,Waalwijk,1,1,D,1,0,H,10,15,6,4,8,6,3,9,1,1,0,0
142,N1,14/01/2021,19:00,Twente,Ajax,1,3,A,0,1,A,12,21,5,12,8,11,5,6,1,0,0,0
143,N1,14/01/2021,20:00,Willem II,Groningen,2,3,A,0,0,D,16,11,6,4,5,10,5,5,0,1,0,0
144,N1,16/01/2021,15:30,FC Emmen,Vitesse,1,4,A,0,2,A,6,15,4,10,14,11,0,1,3,3,0,0
145,N1,16/01/2021,17:45,Sparta Rotterdam,PSV Eindhoven,3,5,A,1,1,D,12,11,5,7,12,7,5,3,1,0,0,0
146,N1,16/01/2021,19:00,Utrecht,Heracles,2,0,H,1,0,H,16,3,8,0,13,12,8,1,2,1,0,0
147,N1,16/01/2021,19:00,Zwolle,For Sittard,0,2,A,0,0,D,8,13,2,7,12,13,5,7,0,0,0,0
