,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HFKC,AFKC,HC,AC,HY,AY,HR,AR
86,G1,19/11/17,Xanthi,Panionios,2,0,H,1.0,0.0,H,7.0,8.0,6.0,3.0,15.0,11.0,3.0,2.0,4.0,3.0,0.0,1.0
87,G1,20/11/17,PAOK,Atromitos,2,1,H,1.0,1.0,D,9.0,4.0,5.0,1.0,17.0,16.0,9.0,3.0,3.0,2.0,0.0,0.0
88,G1,25/11/17,Apollon,Lamia,1,1,D,0.0,0.0,D,19.0,4.0,7.0,3.0,21.0,29.0,4.0,0.0,2.0,6.0,0.0,0.0
89,G1,25/11/17,Atromitos,Panathinaikos,1,1,D,1.0,1.0,D,10.0,11.0,7.0,5.0,11.0,22.0,6.0,3.0,5.0,6.0,1.0,0.0
90,G1,25/11/17,Giannina,Xanthi,1,1,D,0.0,0.0,D,7.0,8.0,3.0,5.0,21.0,11.0,8.0,2.0,2.0,0.0,0.0,0.0
91,G1,26/11/17,Asteras Tripolis,Levadeiakos,2,0,H,1.0,0.0,H,16.0,9.0,7.0,5.0,16.0,11.0,7.0,2.0,1.0,2.0,0.0,0.0
92,G1,26/11/17,Kerkyra,Olympiakos,1,3,A,1.0,0.0,H,9.0,12.0,3.0,8.0,22.0,14.0,6.0,8.0,3.0,1.0,0.0,0.0
93,G1,26/11/17,Panetolikos,Larisa,3,1,H,2.0,0.0,H,14.0,12.0,6.0,7.0,13.0,23.0,5.0,1.0,3.0,3.0,0.0,0.0
94,G1,26/11/17,Panionios,PAOK,2,2,D,0.0,1.0,A,5.0,21.0,4.0,8.0,11.0,17.0,0.0,6.0,2.0,0.0,0.0,0.0
95,G1,27/11/17,AEK,Platanias,3,0,H,1.0,0.0,H,27.0,3.0,12.0,1.0,17.0,22.0,11.0,2.0,0.0,2.0,0.0,0.0
96,G1,02/12/17,Asteras Tripolis,Kerkyra,4,0,H,3.0,0.0,H,11.0,4.0,8.0,2.0,23.0,17.0,3.0,1.0,2.0,2.0,0.0,0.0
97,G1,02/12/17,Olympiakos,Apollon,3,1,H,1.0,1.0,D,19.0,3.0,13.0,1.0,23.0,21.0,8.0,1.0,4.0,5.0,0.0,0.0
98,G1,02/12/17,Xanthi,PAOK,0,3,A,0.0,2.0,A,4.0,6.0,2.0,5.0,21.0,20.0,6.0,7.0,3.0,2.0,0.0,0.0
99,G1,03/12/17,Lamia,Panetolikos,2,2,D,0.0,2.0,A,9.0,7.0,3.0,4.0,16.0,22.0,6.0,3.0,2.0,6.0,2.0,1.0
100,G1,03/12/17,Larisa,Giannina,1,1,D,1.0,0.0,H,10.0,8.0,3.0,4.0,20.0,22.0,4.0,9.0,3.0,2.0,0.0,0.0
101,G1,03/12/17,Levadeiakos,AEK,0,2,A,0.0,0.0,D,5.0,19.0,1.0,6.0,20.0,24.0,2.0,5.0,4.0,2.0,0.0,0.0
102,G1,03/12/17,Panathinaikos,Panionios,0,1,A,0.0,0.0,D,9.0,9.0,4.0,3.0,20.0,11.0,6.0,1.0,3.0,1.0,0.0,0.0
103,G1,04/12/17,Platanias,Atromitos,1,3,A,1.0,0.0,H,12.0,12.0,9.0,6.0,18.0,16.0,3.0,4.0,5.0,4.0,0.0,0.0
104,G1,09/12/17,Larisa,Xanthi,1,0,H,0.0,0.0,D,6.0,7.0,3.0,1.0,21.0,20.0,4.0,2.0,1.0,6.0,0.0,0.0
105,G1,09/12/17,Panetolikos,Olympiakos,1,4,A,1.0,1.0,D,6.0,8.0,3.0,6.0,10.0,17.0,3.0,0.0,2.0,3.0,0.0,0.0
106,G1,09/12/17,Panionios,Platanias,2,1,H,1.0,0.0,H,7.0,5.0,2.0,4.0,14.0,21.0,4.0,4.0,1.0,3.0,0.0,1.0
107,G1,10/12/17,Apollon,Asteras Tripolis,1,3,A,0.0,1.0,A,11.0,4.0,6.0,3.0,15.0,17.0,7.0,2.0,2.0,2.0,0.0,0.0
108,G1,10/12/17,Atromitos,Levadeiakos,1,0,H,1.0,0.0,H,17.0,4.0,8.0,0.0,16.0,25.0,4.0,0.0,2.0,3.0,0.0,0.0
109,G1,10/12/17,Giannina,Lamia,1,1,D,0.0,0.0,D,16.0,13.0,6.0,4.0,9.0,15.0,12.0,4.0,2.0,2.0,0.0,0.0
110,G1,10/12/17,PAOK,Panathinaikos,4,0,H,1.0,0.0,H,10.0,4.0,5.0,2.0,19.0,21.0,1.0,3.0,2.0,5.0,1.0,1.0
111,G1,11/12/17,AEK,Kerkyra,3,1,H,2.0,0.0,H,11.0,12.0,8.0,6.0,21.0,13.0,4.0,3.0,1.0,3.0,0.0,0.0
112,G1,16/12/17,AEK,Apollon,0,0,D,0.0,0.0,D,21.0,2.0,7.0,0.0,14.0,13.0,13.0,0.0,1.0,5.0,0.0,0.0
113,G1,16/12/17,Kerkyra,Atromitos,1,3,A,0.0,0.0,D,7.0,6.0,3.0,6.0,23.0,8.0,5.0,4.0,3.0,3.0,0.0,0.0
114,G1,16/12/17,Platanias,PAOK,0,1,A,0.0,0.0,D,6.0,13.0,2.0,7.0,19.0,12.0,5.0,10.0,2.0,1.0,0.0,0.0
115,G1,17/12/17,Asteras Tripolis,Panetolikos,0,0,D,0.0,0.0,D,12.0,5.0,5.0,3.0,14.0,14.0,10.0,2.0,1.0,7.0,0.0,1.0
116,G1,17/12/17,Lamia,Larisa,0,2,A,0.0,2.0,A,13.0,8.0,7.0,5.0,28.0,20.0,7.0,0.0,4.0,4.0,0.0,0.0
117,G1,17/12/17,Olympiakos,Giannina,1,0,H,0.0,0.0,D,16.0,5.0,8.0,1.0,18.0,25.0,8.0,2.0,3.0,4.0,0.0,0.0
118,G1,17/12/17,Xanthi,Panathinaikos,1,1,D,0.0,1.0,A,6.0,11.0,3.0,6.0,20.0,20.0,4.0,7.0,2.0,5.0,0.0,0.0
119,G1,18/12/17,Levadeiakos,Panionios,2,1,H,0.0,0.0,D,12.0,13.0,8.0,6.0,19.0,12.0,4.0,7.0,2.0,1.0,0.0,0.0
120,G1,06/01/18,Panetolikos,AEK,1,4,A,0.0,3.0,A,8.0,6.0,4.0,3.0,14.0,20.0,5.0,7.0,2.0,2.0,0.0,0.0
121,G1,06/01/18,Panionios,Kerkyra,3,1,H,0.0,1.0,A,14.0,5.0,8.0,2.0,15.0,24.0,5.0,1.0,2.0,4.0,0.0,0.0
122,G1,06/01/18,PAOK,Levadeiakos,5,0,H,1.0,0.0,H,13.0,3.0,8.0,1.0,10.0,17.0,6.0,1.0,0.0,4.0,0.0,1.0
123,G1,07/01/18,Giannina,Asteras Tripolis,0,0,D,0.0,0.0,D,9.0,15.0,3.0,3.0,11.0,15.0,5.0,9.0,3.0,3.0,0.0,0.0
124,G1,07/01/18,Lamia,Xanthi,0,1,A,0.0,1.0,A,17.0,9.0,5.0,2.0,23.0,21.0,9.0,3.0,1.0,4.0,0.0,0.0
125,G1,07/01/18,Larisa,Olympiakos,0,3,A,0.0,0.0,D,13.0,7.0,6.0,4.0,15.0,21.0,5.0,6.0,3.0,5.0,0.0,0.0
126,G1,07/01/18,Panathinaikos,Platanias,2,0,H,0.0,0.0,D,21.0,5.0,9.0,2.0,16.0,23.0,5.0,2.0,2.0,7.0,0.0,1.0
127,G1,08/01/18,Apollon,Atromitos,0,3,A,0.0,2.0,A,7.0,8.0,2.0,3.0,16.0,18.0,1.0,2.0,1.0,3.0,0.0,0.0
128,G1,13/01/18,Apollon,Panionios,1,1,D,1.0,0.0,H,7.0,9.0,5.0,4.0,14.0,22.0,4.0,4.0,4.0,6.0,0.0,1.0
129,G1,13/01/18,Levadeiakos,Panathinaikos,3,2,H,2.0,0.0,H,5.0,11.0,4.0,3.0,,,2.0,5.0,3.0,2.0,0.0,0.0
130,G1,13/01/18,Xanthi,Platanias,3,2,H,2.0,0.0,H,11.0,10.0,5.0,3.0,16.0,11.0,4.0,7.0,2.0,0.0,0.0,0.0
131,G1,14/01/18,AEK,Giannina,3,1,H,1.0,0.0,H,10.0,4.0,7.0,2.0,18.0,25.0,2.0,3.0,0.0,3.0,0.0,1.0
132,G1,14/01/18,Asteras Tripolis,Larisa,3,1,H,1.0,0.0,H,11.0,11.0,8.0,7.0,14.0,13.0,4.0,7.0,0.0,1.0,0.0,0.0
133,G1,14/01/18,Atromitos,Panetolikos,0,1,A,0.0,0.0,D,18.0,6.0,9.0,2.0,14.0,10.0,14.0,5.0,2.0,2.0,0.0,0.0
134,G1,14/01/18,Kerkyra,PAOK,0,3,A,0.0,1.0,A,8.0,17.0,2.0,7.0,13.0,18.0,2.0,6.0,0.0,0.0,0.0,0.0
135,G1,15/01/18,Olympiakos,Lamia,2,0,H,2.0,0.0,H,14.0,5.0,4.0,3.0,16.0,11.0,4.0,5.0,1.0,2.0,0.0,0.0
136,G1,20/01/18,Larisa,AEK,0,0,D,0.0,0.0,D,3.0,7.0,1.0,3.0,15.0,21.0,3.0,10.0,7.0,3.0,0.0,0.0
137,G1,20/01/18,Panathinaikos,Kerkyra,4,0,H,2.0,0.0,H,19.0,4.0,12.0,2.0,14.0,21.0,8.0,2.0,0.0,2.0,0.0,0.0
138,G1,20/01/18,Platanias,Levadeiakos,1,0,H,0.0,0.0,D,10.0,9.0,5.0,3.0,19.0,17.0,7.0,2.0,1.0,3.0,0.0,0.0
139,G1,21/01/18,Giannina,Atromitos,2,2,D,0.0,0.0,D,13.0,11.0,6.0,5.0,13.0,25.0,5.0,1.0,4.0,2.0,0.0,0.0
